seller_id,uf,tot_orders,tot_items,tot_items_dist,receita,recencia,churn
1da3aeb70d7989d1e6d9b0e887f97c23,SP,132,170,91,5008.439999999984,2,0
1dcfa3835714681d4ba4a93bc1e0fd41,SP,12,14,4,1186.6000000000001,48,1
1dd33b8119b3cb1056ed5dc88cd0aaf4,SP,7,7,2,1314.0,22,0
1dfe5347016252a7884b694d4f10f5c4,SP,15,18,12,1145.4,46,0
1e47d8b6546eb3a77b1acddcc9406242,SP,1,1,1,149.9,261,1
1e47defeeadeca0e9a18fa5a9311e735,SP,3,3,3,234.12,196,1
1e483cc5c76fef08d3ca05f9a8af7d01,SP,9,10,3,166.09000000000003,258,1
1e8b33f18b4f7598d87f5cbee2282cc2,SP,25,27,9,2293.9000000000005,0,0
1eade46fba20122dc4aefb379f8c636b,SP,27,40,7,1647.9700000000005,0,0
1f1bb1f0859883505541bdd6606193e5,SP,15,16,12,7801.8899999999985,44,0
1f50f920176fa81dab994f9023523100,SP,876,1182,6,66669.99000000075,0,0
1f7fd2a6fcd5a6fa5d8a4dabc72aaae0,RS,2,2,1,316.8,171,0
1f867308a0ce13133a4e639ff4de0c02,PR,4,7,4,783.62,3,0
1f9ab4708f3056ede07124aad39a2554,SP,33,33,5,5822.239999999998,9,0
1fdc574883ef3b33ad41562d93f3a74a,SP,5,5,5,1199.0,18,0
1fe61aa5494bd3ae92a2c13e067c810f,SC,1,2,1,537.76,65,1
2009a095de2a2a41626f6c6d7722678d,SP,8,12,4,388.88999999999993,92,1
2059c39f76271d4ca3f15b5ffaccc8b8,PR,12,12,2,604.8999999999999,146,1
2063dd1b9f568df1c16741ea7d3e6adb,PR,3,3,3,763.0999999999999,77,1
2089a6d640999f9b9141ac719b2af596,SP,28,28,17,6052.719999999998,1,0
20a7efa9721046319bdde5d60b6b5365,SP,2,5,1,449.5,15,0
20b54c376b794ed028df09a3cd88e8dc,SP,2,2,1,339.52,132,0
20cb7c2fde3e5bf10f0bbe7394e1c6a9,PR,25,41,2,692.8999999999995,8,0
20d53aad4fe5ee93a64f8839609d3586,MG,1,1,1,14.5,66,1
20d83f3ef0e6925fd74bfd59170babf7,SP,26,34,32,1795.600000000001,9,0
20f0aeea30bc3b8c4420be8ced4226c0,SP,1,1,1,14.9,360,1
2138ccb85b11a4ec1e37afbd1c8eda1f,SP,301,325,120,9118.889999999947,12,0
