sigla_uf	nome_municipio	ano	ibc	cobertura_pop_4g5g	fibra	adensamento_estacoes	densidade_smp	hhi_smp	densidade_scm	hhi_scm
MG	Guarará	2023	67.09	98.93	100	19.84	82.54	64	27.32	50
MG	Indaiabira	2023	25.79	56.02	0	19.69	42.92	10	4.63	68
MG	Patrocínio	2023	65.61	91.26	100	12.75	88.97	57	25.59	54
MG	Santa Bárbara	2023	65.03	98.18	100	10.94	90.45	41	25.41	41
MG	São Félix de Minas	2023	38.76	88.66	0	19.52	77.45	41	0.60	64
MG	São José do Divino	2023	34.29	79.38	0	18.04	56.60	66	11.05	27
MG	Vargem Grande do Rio Pardo	2023	29.01	86.87	0	8.99	55.07	8	7.20	13
ES	Guarapari	2023	70.28	96.98	100	23.72	90.20	52	28.96	82
ES	Iconha	2023	61.87	94.59	100	23.65	78.72	45	14.36	39
ES	Iúna	2023	59.52	95.43	100	12.38	68.50	26	18.46	60
SP	Álvares Machado	2023	61.42	99.32	100	5.35	58.73	66	20.92	79
SP	Bastos	2023	62.26	98.09	100	5.81	78.38	34	19.44	70
SP	Brotas	2023	67.91	96.23	100	19.17	90.28	83	24.04	39
SP	Charqueada	2023	67.41	99.74	100	8.04	82.76	74	21.30	87
SP	Manduri	2023	64.19	95.69	100	10.55	82.27	36	24.13	69
SP	Morro Agudo	2023	63.14	95.26	100	7.46	80.91	67	16.89	57
SP	Nova Odessa	2023	70.96	100.00	100	11.42	90.17	84	34.43	63
SP	Piquerobi	2023	66.88	83.79	100	57.42	82.76	76	16.48	29
SP	Presidente Prudente	2023	73.49	99.97	100	9.69	90.84	92	37.38	89
SP	Rio Grande da Serra	2023	62.93	100.00	100	9.43	66.87	71	15.02	82
SP	Santa Cruz do Rio Pardo	2023	68.27	98.44	100	12.11	90.13	39	32.23	72
SP	Santo Antônio do Aracanguá	2023	62.73	91.94	100	27.34	83.92	39	6.22	68
SP	São Bento do Sapucaí	2023	57.55	84.68	100	8.91	65.14	44	24.43	39
SP	São João do Pau d'Alho	2023	61.56	94.74	100	18.58	72.77	10	27.90	55
SP	São José da Bela Vista	2023	60.34	96.08	100	8.19	72.07	34	12.89	80
SP	Valparaíso	2023	65.79	98.54	100	9.45	79.15	73	17.99	83
PR	Lobato	2023	42.25	97.21	0	9.05	76.55	17	24.75	71
PR	Reserva	2023	60.37	74.55	100	7.63	77.85	68	12.72	90
PR	Tamarana	2023	58.94	81.72	100	13.61	54.89	96	14.93	71
SC	Descanso	2023	61.63	83.72	100	9.77	67.30	78	21.25	77
SC	Itajaí	2023	72.35	99.64	100	9.23	89.85	84	36.00	88
SC	Jaguaruna	2023	75.04	99.71	100	17.38	90.00	81	59.88	42
SC	Laguna	2023	67.31	98.60	100	14.12	89.93	73	12.44	81
SC	Major Gercino	2023	49.83	49.18	100	12.96	39.29	68	24.51	60
